row,col,value
7,13,1.08783219251e-12
7,14,-1.47887056425e-13
7,15,7.76728057417e-14
7,16,1.39219292516e-13
7,17,5.75343180276e-14
7,18,6.64180894085e-14
7,19,-3.46536720225e-14
7,20,-9.27236833496e-14
7,21,3.24022719635e-14
7,22,8.73143600350e-14
7,23,-1.29326163046e-13
7,24,-4.62280741837e-14
7,25,2.81904167493e-13
7,26,1.21447694993e-13
7,27,-1.49331683743e-14
7,28,-2.20653492302e-13
7,29,1.97682268328e-15
7,30,1.56554820334e-14
7,31,-2.17362935192e-14
7,32,-4.89081337081e-13
7,33,2.11455906922e-12
7,34,-2.98621071119e-12
7,35,2.98621071119e-12
7,36,2.98621071119e-12
7,37,2.98621071119e-12
7,38,2.98621071119e-12
7,39,-12704.38547533515
7,40,2.98621071119e-12
7,41,2.98621071119e-12
7,42,2.75883703574e-12
7,43,3.21358438663e-12
7,44,2.86095829042e-12
7,45,0
7,46,3.44095806207e-12
7,47,2.98621071119e-12
7,48,2.98621071119e-12
7,49,2.74288797483e-12
7,50,3.21358438663e-12
7,51,3.21358438663e-12
7,52,3.44095806207e-12
7,53,2.74068146319e-12
7,54,3.21358438663e-12
7,55,3.29475777832e-12
7,56,2.75883703574e-12
7,57,2.42281077733e-12
7,58,2.30408968486e-12
7,59,3.21358438663e-12
7,60,3.21358438663e-12
7,61,2.90037585262e-12
7,62,3.21358438663e-12
7,63,2.75883703574e-12
7,64,3.21358438663e-12
7,65,0
8,1,6.07953037585e-16
8,2,-8.64627881739e-12
8,3,0
8,4,1.31721531192e-14
8,5,-7.59575523442e-14
8,6,-1.40861093178e-14
8,7,-1.67170165012e-13
8,8,5607.377046579119
8,9,-1.43106510331e-13
8,10,3.62756091722e-14
8,11,4.80348245033e-14
8,12,3.32702339946e-14
8,13,-3.05180922184e-12
8,14,-1.35295879152e-13
8,15,-1.09694985006e-13
8,16,-7.84524602914e-14
8,17,2.04693452827e-13
8,18,5.33199811178e-13
8,19,9.30757594699e-15
8,20,-7.98370543111e-15
8,21,4.19815319834e-13
8,22,-1.32994286625e-14
8,23,1.44965488371e-13
8,24,-9.00946773982e-13
8,25,-1.47330303676e-12
8,26,3.71152241616e-13
8,27,-9.80655753643e-15
8,28,-1.64611707210e-12
8,29,7.88888984660e-13
8,30,-3.72303037879e-14
8,31,3.18540045682e-13
8,32,4.14044417140e-13
8,33,-5.42425498666e-12
8,34,8.64627881739e-12
8,35,-8.41890514194e-12
8,36,-8.41890514194e-12
8,37,-8.41890514194e-12
8,38,-8.87365249283e-12
8,39,-8.06763689951e-12
8,40,-11018.54776747879
8,41,-8.41890514194e-12
8,42,-8.41890514194e-12
8,43,-8.87365249283e-12
8,44,-8.55356297310e-12
8,45,0
8,46,-7.96415779106e-12
8,47,-8.19153146650e-12
8,48,-8.19153146650e-12
8,49,-8.88926622711e-12
8,50,-8.87365249283e-12
8,51,-8.64627881739e-12
8,52,-8.87365249283e-12
8,53,-9.44674474639e-12
8,54,-8.41890514194e-12
