row,col,value
24,29,.0003162825443516
24,30,.0003220570780535
24,31,.000567611836514
24,32,.0001199717739789
24,33,.0001155955709391
24,34,.0004543809697811
24,35,-6.65134853874e-19
24,36,-.0001199717739705
25,1,0
25,2,.0001486588161501
25,3,.0002158331956206
25,4,.0002039247898492
25,5,.0002813975601073
25,6,.0001860597047426
25,7,.0002707365536926
25,8,.0002223055325324
25,9,.0003173369681974
25,10,.0003190561694374
25,11,-.0993749802321619
25,12,.0002671960567666
25,13,.0003581367031425
25,14,.0002529653106483
25,15,.0003393419735046
25,16,.0002440681354319
25,17,.000328652000232
25,18,.0002657405241682
25,19,.0003543479952019
25,20,.0002612685425968
25,21,.0002853333350244
25,22,.000328875314899
25,23,.0002302094885284
25,24,.0003022841247921
25,25,.0031322248534634
25,26,.0002845423431924
25,27,.0003851329188363
25,28,.000305671921197
25,29,.0004233365715854
25,30,.0003477891648707
25,31,.0005284602458861
25,32,.0000841707479512
25,33,.0007702279301452
25,34,.0003943625036888
