seed,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,t_lo,t_hi,t_cov,t_n_islands
1088,-1.819999999999999,-1.4599999999999986,True,1,1.8800000000000034,2.520000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.679999999999997,-1.9599999999999964,True,1
1089,-1.7399999999999989,-1.3999999999999986,True,1,1.8400000000000034,2.480000000000004,True,1,-0.47999999999999865,-0.4199999999999986,True,1,-2.799999999999997,-1.9599999999999964,True,1
1090,-1.779999999999999,-1.4399999999999986,True,1,1.8600000000000034,2.480000000000004,True,1,-0.4399999999999986,-0.37999999999999856,True,1,-2.9199999999999973,-2.0799999999999965,True,1
1091,-1.6199999999999988,-1.3199999999999985,True,1,1.6600000000000033,2.2000000000000037,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.2799999999999976,-2.1599999999999966,True,1
1092,-1.6399999999999988,-1.3199999999999985,True,1,1.6400000000000032,2.2000000000000037,True,1,-0.3999999999999986,-0.35999999999999854,False,1,-3.0799999999999974,-2.0399999999999965,True,1
1093,-1.759999999999999,-1.4199999999999986,True,1,1.9200000000000035,2.5400000000000045,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.759999999999997,-1.9599999999999964,True,1
1094,-1.6199999999999988,-1.3199999999999985,True,1,1.7200000000000033,2.2400000000000038,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.3599999999999977,-2.1999999999999966,True,1
1095,-1.919999999999999,-1.5199999999999987,False,1,2.0000000000000036,2.7000000000000046,False,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.559999999999997,-1.8399999999999963,True,1
1096,-1.6799999999999988,-1.3799999999999986,True,1,1.8000000000000034,2.3400000000000034,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.1999999999999975,-2.1999999999999966,True,1
1097,-1.6799999999999988,-1.3799999999999986,True,1,1.8000000000000034,2.3400000000000034,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.9599999999999973,-2.0399999999999965,True,1
1098,-1.4599999999999986,-1.2199999999999984,False,1,1.460000000000003,1.9000000000000035,False,1,-0.47999999999999865,-0.4199999999999986,True,1,-4.199999999999998,-2.439999999999997,True,1
1099,-1.779999999999999,-1.4399999999999986,True,1,1.9200000000000035,2.560000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.9999999999999973,-2.1599999999999966,True,1
