estname,N_base,N_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
grc_tza_cuu_c2,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c2_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c2_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c2_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c2_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ca,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ca_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ca_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ca_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ca_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ct,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ct_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ct_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ct_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_ct_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
